Experiment,Participant,Item,Order,Condition,Match,AntecedentNumber,NounGender,TargetResponseIdentical,ResponseComplete,Structure,NumberError,GenderError,OtherDifferences,Segment,Duration,Pause,Syllable
experiment1,s1,43,27,ss,match,singular,masculine,FALSE,yes,with_preposition,no,no,disfluency,attractor_pronoun,NA,NA,NA
experiment1,s1,33,28,ps,mismatch,plural,masculine,FALSE,no,NA,NA,NA,NA,adverb,NA,NA,NA
experiment1,s1,33,28,ps,mismatch,plural,masculine,FALSE,no,NA,NA,NA,NA,antecedent,NA,NA,NA
experiment1,s1,33,28,ps,mismatch,plural,masculine,FALSE,no,NA,NA,NA,NA,attractor,NA,NA,NA
experiment1,s1,33,28,ps,mismatch,plural,masculine,FALSE,no,NA,NA,NA,NA,onset,NA,NA,NA
experiment1,s1,33,28,ps,mismatch,plural,masculine,FALSE,no,NA,NA,NA,NA,pronoun,NA,NA,NA
experiment1,s1,33,28,ps,mismatch,plural,masculine,FALSE,no,NA,NA,NA,NA,verb,NA,NA,NA
experiment1,s1,33,28,ps,mismatch,plural,masculine,FALSE,no,NA,NA,NA,NA,attractor_pronoun,NA,NA,NA
experiment1,s1,75,29,ss,match,singular,feminine,TRUE,yes,with_preposition,no,no,NA,adverb,450,0,4
experiment1,s1,75,29,ss,match,singular,feminine,TRUE,yes,with_preposition,no,no,NA,antecedent,500,NA,4
experiment1,s1,75,29,ss,match,singular,feminine,TRUE,yes,with_preposition,no,no,NA,attractor,690,1,4
experiment1,s1,75,29,ss,match,singular,feminine,TRUE,yes,with_preposition,no,no,NA,onset,1896,NA,NA
experiment1,s1,75,29,ss,match,singular,feminine,TRUE,yes,with_preposition,no,no,NA,pronoun,340,0,3
experiment1,s1,75,29,ss,match,singular,feminine,TRUE,yes,with_preposition,no,no,NA,verb,740,0,4
experiment1,s1,75,29,ss,match,singular,feminine,TRUE,yes,with_preposition,no,no,NA,attractor_pronoun,790,0,7
experiment1,s1,84,30,sp,mismatch,singular,feminine,TRUE,yes,with_preposition,no,no,NA,adverb,510,0,4
experiment1,s1,84,30,sp,mismatch,singular,feminine,TRUE,yes,with_preposition,no,no,NA,antecedent,560,NA,4
experiment1,s1,84,30,sp,mismatch,singular,feminine,TRUE,yes,with_preposition,no,no,NA,attractor,700,0,4
experiment1,s1,84,30,sp,mismatch,singular,feminine,TRUE,yes,with_preposition,no,no,NA,onset,1966,NA,NA
experiment1,s1,84,30,sp,mismatch,singular,feminine,TRUE,yes,with_preposition,no,no,NA,pronoun,410,0,3
experiment1,s1,84,30,sp,mismatch,singular,feminine,TRUE,yes,with_preposition,no,no,NA,verb,610,0,4
experiment1,s1,84,30,sp,mismatch,singular,feminine,TRUE,yes,with_preposition,no,no,NA,attractor_pronoun,920,0,7
experiment1,s1,77,31,ps,mismatch,plural,feminine,TRUE,yes,with_preposition,no,no,NA,adverb,500,0,4
experiment1,s1,77,31,ps,mismatch,plural,feminine,TRUE,yes,with_preposition,no,no,NA,antecedent,620,NA,4
experiment1,s1,77,31,ps,mismatch,plural,feminine,TRUE,yes,with_preposition,no,no,NA,attractor,510,0,4
experiment1,s1,77,31,ps,mismatch,plural,feminine,TRUE,yes,with_preposition,no,no,NA,onset,1846,NA,NA
experiment1,s1,77,31,ps,mismatch,plural,feminine,TRUE,yes,with_preposition,no,no,NA,pronoun,570,0,3
experiment1,s1,77,31,ps,mismatch,plural,feminine,TRUE,yes,with_preposition,no,no,NA,verb,620,0,4
experiment1,s1,77,31,ps,mismatch,plural,feminine,TRUE,yes,with_preposition,no,no,NA,attractor_pronoun,1070,0,7
experiment1,s1,66,32,pp,match,plural,feminine,TRUE,yes,with_preposition,no,no,NA,adverb,420,0,4
